# Μορφή: H|sortkey|ετικέτα|τίτλος|περιγραφή
# sortkey: μεγαλύτερο = νεότερο (1000 π.Χ. = -999)
H|-1199999|~1,2 Ma|Χόμο ερέκτους Ιάβας|Μακρά παρουσία στη νοτιοανατολική Ασία.
H|-1499999|~1,5 Ma|Χόμο ερέκτους Κίνας|Τοπικές παραλλαγές λιθοτεχνίας.
H|-1999999|~2 Ma|Paranthropus robustus|Εξειδίκευση στη μάσηση· Νότια Αφρική.
H|-2499999|~2,5 Ma|Australopithecus africanus|Νότια Αφρική· ενδιάμεσος τύπος.
H|-3199999|~3,2 Ma|Kenyanthropus platyops|Ποικιλία πρώιμων hominin.
H|-4199999|~4,2 Ma|Australopithecus anamensis|Πρώιμος διποδισμός.
H|-4999999|~5 Ma|Γενετική πολυμορφία hominin|Συνύπαρξη γραμμών στην Αφρική.
H|-7999999|~8 Ma|Κλιματικές αλλαγές Μειόκαινου|Εναλλαγές δάσους και σαβάνας.
H|-11999999|~12 Ma|Ρήτης και γεωλογικό πλαίσιο|Μακρά ιστορία αποθέσεων στην Ανατολική Αφρική.
H|-17999999|~18 Ma|Ανατολική Αφρική: παλαιότερα ανθρωπίδη|Προκόνσουλ και συγγενικά είδη.
H|-24999999|~25 Ma|Νότια Αφρική: ιζήματα και σπήλαια|Συνθήκες διατήρησης απολιθωμάτων.
H|-44999999|~45 Ma|Πρώιμα ανθρωπίδη (Εώκαινο)|Αφρική και προσαρμογή σε δάση.
H|-54999999|~55 Ma|Πρωτεύοντα μετά το K-Pg|Ραγδαία διακλάδωση θηλαστικών.
H|-64999999|~65 Ma|Καινοζωικό: μετά την εξαφάνιση δεινοσαύρων|Μακροχρόνιο πλαίσιο για την εξέλιξη των πρωτευόντων.
K|-999|~1000 π.Χ.|Πρώιμη μεταλλουργία σιδήρου (τοπικά)|Πειραματική κατεργασία σιδήρου σε μικρή κλίμακα πριν την κυριαρχία του εργαλείου από σίδηρο.
K|-1299|~1300 π.Χ.|Γραφή Linear B: οικονομική καταγραφή|Οι πινακίδες αποκαλύπτουν λεξιλόγιο και διοικητική ορολογία της μυκηναϊκής ελληνικής.
K|-1449|~1450 π.Χ.|Μινωική τοιχογραφία|Χρώματα και προοπτική σε φυσικά θέματα· επιρροή σε μεταγενέστερη αιγαιακή τέχνη.
K|-1599|~1600 π.Χ.|Υδραυλικά και αποχετεύσεις (Κρήτη)|Σχεδιασμός νερού σε ανακτορικούς οικισμούς.
K|-1749|~1750 π.Χ.|Κυκλαδική γλυπτική|Αφαίρεση και γεωμετρία στα μαρμάρινα ειδώλια.
K|-1899|~1900 π.Χ.|Νεολιθική υφαντική|Λίνα, μαλλί και αργαλειοί· αποθήκευση και ανταλλαγή υφασμάτων.
K|-2099|~2100 π.Χ.|Αλώνισμα και αποθήκευση σιτηρών|Τεχνικές μεταποίησης που επιτρέπουν μεγαλύτερες κοινότητες.
K|-2299|~2300 π.Χ.|Κεραμικός τροχός (πρώιμα)|Τυποποίηση αγγείων και αύξηση παραγωγής.
K|-2499|~2500 π.Χ.|Αστρονομία σε μεγαλιθικά|Προσανατολισμοί ηλίου και σελήνης σε τάφους και κύκλους λίθων.
K|-2599|~2600 π.Χ.|Πρόωρη μεταλλογνωσία|Αναγνώριση ωρεών και τεχνικές εμπύρωσης χαλκού.
K|-2699|~2700 π.Χ.|Ιερά και κοινοτική τελετουργία|Κοινόχρηστοι χώροι λατρείας στη Μεσοποταμία και την Ανατολία.
K|-2799|~2800 π.Χ.|Κτηνοτροφία και γαλακτοκομία|Χρήση γάλακτος και τυριού· νέες πηγές πρωτεΐνης.
K|-2899|~2900 π.Χ.|Μικρολιθική τεχνολογία|Σύνθετα εργαλεία και θήκες για ακίδες.
K|-2999|~3000 π.Χ.|Θαλάσσια διατροφή και ωμέγα-λιπαρά|Αυξημένη εξάρτηση από ψάρι σε παράκτιες κοινότητες.
K|-11999|~12 χιλ. π.Χ.|Εξημέρωση σκύλου (μοντέλα)|Συνεργασία ανθρώπου–ζώου στο κυνήγι και τη φύλαξη.
K|-13999|~14 χιλ. π.Χ.|Αγκίστρια και πετονιά|Αλιευτική τεχνολογία σε ποτάμια και ακτές.
K|-15999|~16 χιλ. π.Χ.|Αυλός από οστό|Μουσική έκφραση στην άνω παλαιολιθική.
K|-19999|~20 χιλ. π.Χ.|Λίθινα λαμπάδες και φωτισμός σπηλαίων|Έλεγχος φωτός για τελετουργία και τέχνη.
K|-24999|~25 χιλ. π.Χ.|Κόκαλα και βέλη|Ακονισμένα οστά και σύνθετα κυνηγετικά όπλα.
K|-29999|~30 χιλ. π.Χ.|Χρωστικές και συμβολισμός|Χρήση οχρας και άνθρακα σε σώματα και επιφάνειες.
K|-39999|~40 χιλ. π.Χ.|Νεάντερταλ: ιατρική φροντίδα|Αποδείξεις επιβίωσης μετά από τραύματα και ασθένειες.
K|-49999|~50 χιλ. π.Χ.|Φαρμακογνωσία φυτών|Χρήση βοτάνων που υποδηλώνει εμπειρική γνώση.
K|-69999|~70 χιλ. π.Χ.|Νήμα και κόμποι|Ίνες και πλεξίματα για εργαλεία και ένδυση.
K|-99999|~100 χιλ. π.Χ.|Θερμική επεξεργασία λίθου|Βελτίωση ιδιοτήτων πυρήνα με ελεγχόμενη θέρμανση.
K|-149999|~150 χιλ. π.Χ.|Κοινωνική μάθηση και μετάδοση τεχνικής|Μακροχρόνια εκπαίδευση στη λιθοτεχνία μεταξύ γενεών.
K|-199999|~200 χιλ. π.Χ.|Έλεγχος πυρός (μαρτυρίες)|Θερμική επεξεργασία τροφής και προστασία από ψύχος.
K|-299999|~300 χιλ. π.Χ.|Ανατομική γνώση από κυνήγι|Κατανόηση ζωικού σώματος για αποτελεσματική σφαγή.
K|-499999|~500 χιλ. π.Χ.|Απλά και σύνθετα εργαλεία|Η εξέλιξη της αλυσίδας κατασκευής λίθου.
K|-799999|~800 χιλ. π.Χ.|Μαγειρική και πέψη|Μείωση ενέργειας πέψης επιτρέπει μεγαλύτερο εγκέφαλο.
K|-1399999|~1,4 Ma|Συνεργασία σε κυνήγι|Ομαδικές στρατηγικές σε μεγάλα θηράματα.
K|-1899999|~1,9 Ma|Διατροφική ποιότητα και κρέας|Πρόσβαση σε πλούσια τροφή υποστηρίζει εγκεφαλική εξέλιξη.
K|-2399999|~2,4 Ma|Πρώτη συστηματική λιθοτεχνία|Oldowan: κοπή και θρυμματισμός για εργαλεία.
K|-3199999|~3,2 Ma|Διποδισμός και ελεύθερα χέρια|Μεταφορά αντικειμένων και χρήση εργαλείων.
K|-4399999|~4,4 Ma|Προσαρμογή σε δάσος και σαβάνα|Διττή οικολογική θέση των πρώιμων hominin.
K|-6999999|~7 Ma|Κοινωνική μάθηση στα πρωτεύοντα|Προϋποθέσεις για μετάδοση πολιτισμικών πρακτικών.
K|-1099|~1100 π.Χ.|Αρχιτεκτονική κυκλώπειων τειχών|Τεχνικές ξηρολιθίας και οργάνωση εργατικών συνεργείων.
K|-1249|~1250 π.Χ.|Ναυπηγική στο Αιγαίο|Σκάφη για μεταφορά μετάλλου, κεραμικής και ανθρώπων.
K|-1349|~1350 π.Χ.|Αρωματικά και φαρμακευτικά φυτά|Εμπόριο ρητινών και βοτάνων στη Μεσόγειο.
K|-1549|~1550 π.Χ.|Χοροί και τελετουργία|Κοινωνική συνοχή μέσω κοινών ρυθμών και δρώμενων.
K|-1649|~1650 π.Χ.|Κεραμικά καλούπια και τυποποίηση|Μαζική παραγωγή αγγείων για αποθήκευση.
K|-1849|~1850 π.Χ.|Γεωμετρία οικισμού Διμηνίου|Κυκλικές κατοικίες και κοινοτικός σχεδιασμός.
K|-1949|~1950 π.Χ.|Αρχαιοαστρονομία στην Ελλάδα (νεολιθική)|Προσανατολισμοί οικιών και τάφων σε σχέση με ουράνια σώματα.
K|-2049|~2050 π.Χ.|Ανταλλαγή ως οικονομία δώρων|Κοινωνικοί δεσμοί μέσω κύκλων ανταλλαγών.
K|-2149|~2150 π.Χ.|Ιατρική των κοινοτήτων|Φροντίδα ηλικιωμένων και τραυματιών σε νεολιθικά χωριά.
K|-2349|~2350 π.Χ.|Κτηνοτροφία και λίπασμα|Κλειστός κύκλος θρεπτικών στοιχείων σε αγρούς.
K|-2449|~2450 π.Χ.|Ιερογραφικά προανάκτορα Αιγύπτου|Σύμβολα πριν την πλήρη ιερογλυφική γραφή.
K|-2549|~2550 π.Χ.|Κοινοτική εργασία σε tell|Κατασκευή οχυρών λόφων κατοίκησης.
K|-2649|~2650 π.Χ.|Μετρολογία: μέτρα σιτηρών|Κοινά πρότυπα όγκου σε αποθήκες.
K|-2749|~2750 π.Χ.|Μουσική με κρουστά|Ρυθμός σε κοινοτικές εκδηλώσεις.
K|-2849|~2850 π.Χ.|Θαλάσσια γεωγραφική γνώση|Δρομολόγια και ακτές στο Αιγαίο.
K|-2949|~2950 π.Χ.|Τέχνη του κινήματος|Δυναμικές παραστάσεις ζώων σε σπήλαια.
K|-3099|~3100 π.Χ.|Λεπίδες και μαχαίρια|Κοπή δέρματος και επεξεργασία τροφής.
K|-34999|~35 χιλ. π.Χ.|Στοματική υγιεινή (αρχαιολογικές ενδείξεις)|Αφαίρεση δοντιών και φθορές που υποδηλώνουν επεμβάσεις.
K|-44999|~45 χιλ. π.Χ.|Συμβολικά κοσμήματα|Διακόσμηση σώματος και κοινωνική θέση.
K|-59999|~60 χιλ. π.Χ.|Πλεξίδια και δίχτυα|Αλιεία και παγίδευση μικρών ζώων.
K|-89999|~90 χιλ. π.Χ.|Γλωσσολογικές υποθέσεις για παλαιότερη Αφρική|Η πολυμορφία των κλικ γλωσσών ως βαθύ ιστορικό στρώμα.
K|-129999|~130 χιλ. π.Χ.|Γενετική πολυμορφία στην Αφρική|Βαθιά ιστορία πληθυσμών πριν την παγκόσμια εξάπλωση.
K|-249999|~250 χιλ. π.Χ.|Νευροεξέλιξη και κοινωνικότητα|Μεγαλύτεροι εγκέφαλοι και μακροχρόνια εξάρτηση νεοσσών.
K|-399999|~400 χιλ. π.Χ.|Προσαρμοστική ικανότητα σε κρύα κλίματα|Τεχνολογία πυρός και ενδυμάτων από δέρματα.
K|-599999|~600 χιλ. π.Χ.|Ακουστική επικοινωνία|Κραυγές, ρυθμός και πρώιμη γλωσσική προετοιμασία.
K|-999999|~1 Ma|Μακροχρόνια μνήμη εργαλείων|Μετάδοση τεχνικών σε ευρύτερες ομάδες.
K|-1999999|~2 Ma|Οικολογική ευελιξία|Διατροφική ποικιλία και επιβίωση σε μεταβαλλόμενα περιβάλλοντα.
K|-4999999|~5 Ma|Κοινωνική ιεραρχία στα πρωτεύοντα|Προϋποθέσεις για μελλοντικές πολιτικές δομές.
K|-19999999|~20 Ma|Χρωματική όραση και φρούτα|Διατροφή και οικολογία ανθρωποειδών.
K|-65999999|~66 Ma|Ραδινότερη εξέλιξη μετά το K-Pg|Γρήγορη διακλάδωση θηλαστικών και νέες θέσεις στην τροφική αλυσίδα.
K|-1099|~1100 π.Χ.|Οικονομία ανακτόρου|Συγκέντρωση φόρων σε είδος και αναδιανομή.
K|-1399|~1400 π.Χ.|Τελετουργικά συμπόσια|Κοινωνική ενοποίηση μέσω κοινής κατανάλωσης.
K|-1699|~1700 π.Χ.|Ανάπτυξη λιμένων|Προβλήματα προσάραξης και φόρτωσης.
K|-2199|~2200 π.Χ.|Κλιματική προσαρμογή στη γεωργία|Νέες ποικιλίες σιτηρών μετά από ξηρασίες.
K|-2399|~2400 π.Χ.|Κοινοτικά αποθέματα|Σιταποθήκες και αντιμετώπιση λιμών.
K|-2599|~2600 π.Χ.|Πρώιμη γεωμετρία κτιρίων|Ορθογώνιες αίθουσες και φορείς σε πλίνθους.
K|-2799|~2800 π.Χ.|Θρησκευτική ηγεσία σε χωριά|Ιερείς και φύλακες ιερών χώρων.
K|-2999|~3000 π.Χ.|Κυνηγετικές πρακτικές βιωσιμότητας|Ρύθμιση πίεσης σε θηράματα.
K|-14999|~15 χιλ. π.Χ.|Χαρτογράφηση τοπίου στη μνήμη|Γνώση μετακινήσεων ζώων και εποχών.
K|-27999|~28 χιλ. π.Χ.|Κοινωνικά δίκτυα ανταλλαγής λίθου|Διακίνηση ωρών σε εκατοντάδες χιλιόμετρα.
K|-54999|~55 χιλ. π.Χ.|Προσαρμογή σε τροπικά δάση|Τεχνικές κυνηγιού και συλλογής σε υψηλή βιομάζα.
K|-119999|~120 χιλ. π.Χ.|Γονιδιακή ανταλλαγή με άλλα hominin|Νεαντερταλικά και ντενίσοβια ίχνη στο σύγχρονο γονιδίωμα.
K|-179999|~180 χιλ. π.Χ.|Νησιωτική οικολογία|Προσαρμογή σε περιορισμένους πόρους.
K|-349999|~350 χιλ. π.Χ.|Συνεργασία σε μεταφορά λίθου|Οργάνωση αποστολών για πρώτη ύλη.
K|-699999|~700 χιλ. π.Χ.|Σχεδιασμός χώρου κατασκήνωσης|Επαναλαμβανόμενη χρήση τοποθεσιών.
K|-1499999|~1,5 Ma|Μεταφορά τροφής σε βάσεις|Κοινή χρήση πόρων σε ομάδες.
K|-4499999|~4,5 Ma|Κοινωνική μάθηση στα hominin|Μίμηση και διδασκαλία νέων μελών.
K|-9999999|~10 Ma|Οικολογία δασών και σαβανών|Διττές στρατηγικές διατροφής στα ανθρωποειδή.
K|-49999999|~50 Ma|Πρώιμα πρωτεύοντα και χειρισμός|Προϋποθέσεις για λεπτή κινητικότητα.
K|-1039|~1040 π.Χ.|Τυποποίηση αγγείων μυκηναϊκής ελίτ|Κοινά σχήματα για αποθήκευση και συμπόσια.
K|-1229|~1230 π.Χ.|Χάλκινα όπλα και κοινωνική διαστρωμάτωση|Πρόσβαση σε μέταλλο ως δείκτης εξουσίας.
K|-1419|~1420 π.Χ.|Χρωστικές μινωικής τέχνης|Ορυκτά και τεχνικές σταθερότητας χρώματος.
K|-1629|~1630 π.Χ.|Κρηπίδωση και αντισεισμικές πρακτικές|Τοπικές προσαρμογές στην κρητική αρχιτεκτονική.
K|-1829|~1830 π.Χ.|Νεολιθική ιατρική (εμφανίσεις)|Θεραπευτικά φυτά και φροντίδα τραυμάτων σε κοινότητες.
K|-2029|~2030 π.Χ.|Κοινοτική ιδιοκτησία αγρών (μοντέλα)|Συλλογική οργάνωση καλλιεργειών σε χωριά.
K|-2229|~2230 π.Χ.|Μελέτη εποχιακών κύκλων|Συγχρονισμός σποράς και συγκομιδής.
K|-2429|~2430 π.Χ.|Πρώιμη σφραγιδοποιία|Σύμβολα ιδιοκτησίας και διοίκησης.
K|-2629|~2630 π.Χ.|Μεταφορά με ζώα (πρώιμα)|Κτηνοτροφία ως έλξη και φορτία.
K|-10999|~11 χιλ. π.Χ.|Κεραμική πρώιμων αγροτών|Αποθήκευση και μαγείρεμα.
K|-16999|~17 χιλ. π.Χ.|Λίθινα δρεπάνια και θερισμός|Αποτελεσματική συγκομιδή.
K|-31999|~32 χιλ. π.Χ.|Χαρτογράφηση αστέρων (υποθέσεις)|Προσανατολισμός κινητικών ομάδων.
K|-109999|~110 χιλ. π.Χ.|Κοινωνική διάκριση από ταφές|Διαφορετικά είδη ταφής και κτερίσματα.
K|-379999|~380 χιλ. π.Χ.|Μακροχρόνια σχεδίαση κυνηγιού|Συνεργασία σε παγίδες και ενέδρες.
K|-899999|~900 χιλ. π.Χ.|Μνήμη τοποθεσιών πρώτης ύλης|Επανάληψη χρήσης λατομείων λίθου.
K|-1309|~1310 π.Χ.|Χαλκός και καλάι σε αιγαιακά εργαστήρια|Κράματα για τελετουργικά σκεύη, όπλα και εμπορία πρώτης ύλης.
